epoch,series,value,evalSet,evalRows
3.833077794813679,eval_bleu_en-dv,5.9157,valid-small,2000
3.833077794813679,eval_chrf,34.1738,valid-small,2000
3.833077794813679,eval_chrf_dv-en,30.7352,valid-small,2000
3.833077794813679,eval_chrf_en-dv,36.8578,valid-small,2000
3.833077794813679,eval_loss,1.7446465492248535,valid-small,2000
3.833077794813679,eval_runtime,74.9942,valid-small,2000
3.833077794813679,eval_samples_per_second,26.669,valid-small,2000
3.833077794813679,eval_steps_per_second,0.84,valid-small,2000
3.8664089060729285,eval_bleu,7.3649,valid-small,2000
3.8664089060729285,eval_bleu_dv-en,8.4183,valid-small,2000
3.8664089060729285,eval_bleu_en-dv,5.8857,valid-small,2000
3.8664089060729285,eval_chrf,34.2833,valid-small,2000
3.8664089060729285,eval_chrf_dv-en,30.7777,valid-small,2000
3.8664089060729285,eval_chrf_en-dv,37.0244,valid-small,2000
3.8664089060729285,eval_loss,1.7440598011016846,valid-small,2000
3.8664089060729285,eval_runtime,75.6366,valid-small,2000
3.8664089060729285,eval_samples_per_second,26.442,valid-small,2000
3.8664089060729285,eval_steps_per_second,0.833,valid-small,2000
3.899740017332178,eval_bleu,7.3147,valid-small,2000
3.899740017332178,eval_bleu_dv-en,8.3938,valid-small,2000
3.899740017332178,eval_bleu_en-dv,5.7823,valid-small,2000
3.899740017332178,eval_chrf,34.1849,valid-small,2000
3.899740017332178,eval_chrf_dv-en,30.6783,valid-small,2000
3.899740017332178,eval_chrf_en-dv,36.9258,valid-small,2000
3.899740017332178,eval_loss,1.7433502674102783,valid-small,2000
3.899740017332178,eval_runtime,76.914,valid-small,2000
3.899740017332178,eval_samples_per_second,26.003,valid-small,2000
3.899740017332178,eval_steps_per_second,0.819,valid-small,2000
3.9330711285914273,eval_bleu,7.4741,valid-small,2000
3.9330711285914273,eval_bleu_dv-en,8.5448,valid-small,2000
3.9330711285914273,eval_bleu_en-dv,5.9835,valid-small,2000
3.9330711285914273,eval_chrf,34.2809,valid-small,2000
3.9330711285914273,eval_chrf_dv-en,30.859,valid-small,2000
3.9330711285914273,eval_chrf_en-dv,36.9536,valid-small,2000
3.9330711285914273,eval_loss,1.742438554763794,valid-small,2000
3.9330711285914273,eval_runtime,75.3748,valid-small,2000
3.9330711285914273,eval_samples_per_second,26.534,valid-small,2000
3.9330711285914273,eval_steps_per_second,0.836,valid-small,2000
3.9664022398506766,eval_bleu,7.3974,valid-small,2000
3.9664022398506766,eval_bleu_dv-en,8.4487,valid-small,2000
3.9664022398506766,eval_bleu_en-dv,5.9234,valid-small,2000
3.9664022398506766,eval_chrf,34.2364,valid-small,2000
3.9664022398506766,eval_chrf_dv-en,30.7298,valid-small,2000
3.9664022398506766,eval_chrf_en-dv,36.9842,valid-small,2000
3.9664022398506766,eval_loss,1.7426952123641968,valid-small,2000
3.9664022398506766,eval_runtime,75.1194,valid-small,2000
3.9664022398506766,eval_samples_per_second,26.624,valid-small,2000
3.9664022398506766,eval_steps_per_second,0.839,valid-small,2000
3.999733351109926,eval_bleu,7.4698,valid-small,2000
3.999733351109926,eval_bleu_dv-en,8.5663,valid-small,2000
3.999733351109926,eval_bleu_en-dv,5.9235,valid-small,2000
3.999733351109926,eval_chrf,34.2233,valid-small,2000
3.999733351109926,eval_chrf_dv-en,30.751,valid-small,2000
3.999733351109926,eval_chrf_en-dv,36.9427,valid-small,2000
3.999733351109926,eval_loss,1.742639183998108,valid-small,2000
3.999733351109926,eval_runtime,74.4768,valid-small,2000
3.999733351109926,eval_samples_per_second,26.854,valid-small,2000
3.999733351109926,eval_steps_per_second,0.846,valid-small,2000
3.01,train_loss,1.7492,,
3.01,train_grad_norm,1.2401765584945679,,
3.01,train_learning_rate,2.4840010665955606e-05,,
3.01,train_loss,1.7352,,
3.01,train_grad_norm,1.3959736824035645,,
3.01,train_learning_rate,2.467335510965936e-05,,
3.02,train_loss,1.7453,,
3.02,train_grad_norm,1.348825454711914,,
3.02,train_learning_rate,2.4506699553363112e-05,,
3.03,train_loss,1.7233,,
3.03,train_grad_norm,1.5703394412994385,,
3.03,train_learning_rate,2.4340043997066865e-05,,
3.03,train_loss,1.7311,,
3.03,train_grad_norm,1.248357892036438,,
3.03,train_learning_rate,2.4173388440770618e-05,,
3.04,train_loss,1.7228,,
3.04,train_grad_norm,1.3620558977127075,,
3.04,train_learning_rate,2.400673288447437e-05,,
3.05,train_loss,1.7536,,
3.05,train_grad_norm,1.1950703859329224,,
3.05,train_learning_rate,2.3840077328178124e-05,,
3.05,train_loss,1.7421,,
3.05,train_grad_norm,1.2814445495605469,,
3.05,train_learning_rate,2.3673421771881877e-05,,
3.06,train_loss,1.7584,,
3.06,train_grad_norm,1.2749576568603516,,
3.06,train_learning_rate,2.350676621558563e-05,,
3.07,train_loss,1.7424,,
3.07,train_grad_norm,1.282735824584961,,
3.07,train_learning_rate,2.3340110659289383e-05,,
3.07,train_loss,1.7382,,
3.07,train_grad_norm,1.1663599014282227,,
3.07,train_learning_rate,2.3173455102993136e-05,,
3.08,train_loss,1.7374,,
3.08,train_grad_norm,1.1894184350967407,,
3.08,train_learning_rate,2.300679954669689e-05,,
3.09,train_loss,1.7458,,
3.09,train_grad_norm,1.2730401754379272,,
3.09,train_learning_rate,2.2840143990400642e-05,,
3.09,train_loss,1.7359,,
3.09,train_grad_norm,1.5108851194381714,,
3.09,train_learning_rate,2.2673488434104395e-05,,
3.1,train_loss,1.7365,,
3.1,train_grad_norm,1.346364140510559,,
3.1,train_learning_rate,2.2506832877808148e-05,,
3.11,train_loss,1.751,,
3.11,train_grad_norm,1.2183047533035278,,
